"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVARegistration","HIVARegistration.dateOfBirthUnknown","HIVARegistration.dateOfBirthUnknown","","","",0,1,"","","","boolean {[]} {[]}
","Date of birth unknown","Is the client's DOB is unknown?","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE15
",,,,"HIVARegistration.dateOfBirthUnknown",0,1,"",""
"HIVARegistration","HIVARegistration.estimatedAge","HIVARegistration.estimatedAge","","","",0,1,"","","","integer {[]} {[]}
","Estimated age","If DOB is unknown, enter the client's estimated age. Display client's age in number of years.","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE16
",,,,"HIVARegistration.estimatedAge",0,1,"",""
"HIVARegistration","HIVARegistration.age","HIVARegistration.age","","","",0,1,"","","","integer {[]} {[]}
","Age","Calculated age (number of years) of the client based on date of birth","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE17
",,,,"HIVARegistration.age",0,1,"",""
"HIVARegistration","HIVARegistration.gender","HIVARegistration.gender","","","",1,1,"","","","Coding {[]} {[]}
","Gender","Gender of the client","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.A.DE18","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE18
",,,,"HIVARegistration.gender",1,1,"",""
"HIVARegistration","HIVARegistration.otherGender","HIVARegistration.otherGender","","","",0,1,"","","","string {[]} {[]}
","Other (specify)","Additional category (please specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE24
",,,,"HIVARegistration.otherGender",0,1,"",""
"HIVARegistration","HIVARegistration.sex","HIVARegistration.sex","","","",1,1,"","","","Coding {[]} {[]}
","Sex","Sex of the client assigned at birth","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.A.DE25","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE25
",,,,"HIVARegistration.sex",1,1,"",""
"HIVARegistration","HIVARegistration.address","HIVARegistration.address","","","",1,1,"","","","string {[]} {[]}
","Address","Client's home address or address which the client is consenting to disclose","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE29
",,,,"HIVARegistration.address",1,1,"",""
"HIVARegistration","HIVARegistration.maritalStatus","HIVARegistration.maritalStatus","","","",0,1,"","","","Coding {[]} {[]}
","Marital Status","Client's current marital status","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.A.DE30","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE30
",,,,"HIVARegistration.maritalStatus",0,1,"",""
"HIVARegistration","HIVARegistration.telephoneNumber","HIVARegistration.telephoneNumber","","","",1,1,"","","","integer {[]} {[]}
","Telephone number","Client's telephone number (a landline or a mobile phone number)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE42
",,,,"HIVARegistration.telephoneNumber",1,1,"",""
"HIVARegistration","HIVARegistration.administrativeArea","HIVARegistration.administrativeArea","","","",1,1,"","","","Coding {[]} {[]}
","Administrative Area","This should be a context-specific list of administrative areas, such as villages, districts, etc. The purpose of this data element is to allow for grouping and flagging of client data to a particular facility's catchment area. This can be input into the system by the end user OR it can be automated in the database based on the end user's attributes.","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.A.DE43","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE43
",,,,"HIVARegistration.administrativeArea",1,1,"",""
"HIVARegistration","HIVARegistration.communicationConsent","HIVARegistration.communicationConsent","","","",0,1,"","","","boolean {[]} {[]}
","Communication consent","Indication that client gave consent to be contacted","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE44
",,,,"HIVARegistration.communicationConsent",0,1,"",""
"HIVARegistration","HIVARegistration.reminderMessages","HIVARegistration.reminderMessages","","","",0,1,"","","","boolean {[]} {[]}
","Reminder messages","Whether client wants to receive text or other messages as follow-up for HIV services","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE45
",,,,"HIVARegistration.reminderMessages",0,1,"",""
"HIVARegistration","HIVARegistration.communicationPreferences","HIVARegistration.communicationPreferences","","","",0,*,"","","","Coding {[]} {[]}
","Communication preference(s)","How the client would like to receive family planning communications","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.A.DE46","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE46
",,,,"HIVARegistration.communicationPreferences",0,*,"",""
"HIVARegistration","HIVARegistration.clientEmail","HIVARegistration.clientEmail","","","",0,1,"","","","string {[]} {[]}
","Client's email","Client's primary email account where the client can be contacted","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE49
",,,,"HIVARegistration.clientEmail",0,1,"",""
"HIVARegistration","HIVARegistration.alternateContactName","HIVARegistration.alternateContactName","","","",0,1,"","","","string {[]} {[]}
","Alternate contact's name","Name of an alternate contact, which could be next of kin (e.g. partner, husband, mother, sibling, etc.). The alternate contact would be used in the case of an emergency situation.","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE50
",,,,"HIVARegistration.alternateContactName",0,1,"",""
"HIVARegistration","HIVARegistration.alternateContactPhoneNumber","HIVARegistration.alternateContactPhoneNumber","","","",0,1,"","","","integer {[]} {[]}
","Alternate contact's phone number","Phone number of the alternate contact","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE51
",,,,"HIVARegistration.alternateContactPhoneNumber",0,1,"",""
"HIVARegistration","HIVARegistration.alternateContactAddress","HIVARegistration.alternateContactAddress","","","",0,1,"","","","string {[]} {[]}
","Alternate contact's address","Alternate contact's home address or address which the client is consenting to disclose","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE52
",,,,"HIVARegistration.alternateContactAddress",0,1,"",""
"HIVARegistration","HIVARegistration.alternateContactRelationship","HIVARegistration.alternateContactRelationship","","","",0,1,"","","","string {[]} {[]}
","Alternate contact relationship","The alternate contact's relationship to the client (e.g. partner, husband, mother, sibling, etc.)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE53
",,,,"HIVARegistration.alternateContactRelationship",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit","HIVBHTSvisit","","","",0,*,"","","","null {[]} {[]}
","HIV.B HTS visit","This tab describes the data that are collected during the HIV Testing services visit workflow (HIV.B)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.reasonForVisit","HIVBHTSvisit.reasonForVisit","","","",1,*,"","","","Coding {[]} {[]}
","Reason for visit","Reason for HIV testing services visit","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE1","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE1
",,,,"HIVBHTSvisit.reasonForVisit",1,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.referredThroughPartnerServices","HIVBHTSvisit.referredThroughPartnerServices","","","",1,*,"","","","Coding {[]} {[]}
","Referred through partner services","Client reported coming to the facility after receiving a provider-assisted referral or patient referral from a contact or partner","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE5","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE5
",,,,"HIVBHTSvisit.referredThroughPartnerServices",1,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.typeOfContactOrPartnerForPartnerServices","HIVBHTSvisit.typeOfContactOrPartnerForPartnerServices","","","",0,*,"","","","Coding {[]} {[]}
","Type of contact or partner for partner services","Client's relationship to the person that referred the client for partner services or family services","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE8","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE8
",,,,"HIVBHTSvisit.typeOfContactOrPartnerForPartnerServices",0,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.contactWithAndSuspectedExposureToHiv","HIVBHTSvisit.contactWithAndSuspectedExposureToHiv","","","",1,1,"","","","boolean {[]} {[]}
","Contact with and (suspected) exposure to HIV","When the client is reported to have had suspected exposure to HIV","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE13
",,,,"HIVBHTSvisit.contactWithAndSuspectedExposureToHiv",1,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.dateTimeOfSuspectedExposureToHiv","HIVBHTSvisit.dateTimeOfSuspectedExposureToHiv","","","",0,1,"","","","dateTime {[]} {[]}
","Date/time of suspected exposure to HIV","Date and time when the client had suspected exposure to HIV","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE14
",,,,"HIVBHTSvisit.dateTimeOfSuspectedExposureToHiv",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.testingEntryPoint","HIVBHTSvisit.testingEntryPoint","","","",1,1,"","","","Coding {[]} {[]}
","Testing entry point","Whether testing is happening in the community or at a facility","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE15","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE15
",,,,"HIVBHTSvisit.testingEntryPoint",1,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.entryPointForCommunityLevelTesting","HIVBHTSvisit.entryPointForCommunityLevelTesting","","","",0,1,"","","","Coding {[]} {[]}
","Entry point for community-level testing","Specific point in the community where testing is happening","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE18","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE18
",,,,"HIVBHTSvisit.entryPointForCommunityLevelTesting",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.entryPointForFacilityLevelTesting","HIVBHTSvisit.entryPointForFacilityLevelTesting","","","",0,1,"","","","Coding {[]} {[]}
","Entry point for facility-level testing","Specific point where testing is happening at a facility","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE22","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE22
",,,,"HIVBHTSvisit.entryPointForFacilityLevelTesting",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.currentlyPregnant","HIVBHTSvisit.currentlyPregnant","","","",0,1,"","","","boolean {[]} {[]}
","Currently pregnant","Client is currently pregnant","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE29
",,,,"HIVBHTSvisit.currentlyPregnant",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.gestationalAge","HIVBHTSvisit.gestationalAge","","","",0,1,"","","","integer {[]} {[]}
","Gestational age","Gestational age in weeks and/or days depending on the source of gestational age","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE30
",,,,"HIVBHTSvisit.gestationalAge",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.expectedDateOfDeliveryEdd","HIVBHTSvisit.expectedDateOfDeliveryEdd","","","",0,1,"","","","date {[]} {[]}
","Expected date of delivery (EDD)","Expected date of delivery based on gestational age","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE31
",,,,"HIVBHTSvisit.expectedDateOfDeliveryEdd",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.breastfeeding","HIVBHTSvisit.breastfeeding","","","",0,1,"","","","boolean {[]} {[]}
","Breastfeeding","Infant is being breastfed by mother","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE32
",,,,"HIVBHTSvisit.breastfeeding",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.partnerHivStatusReported","HIVBHTSvisit.partnerHivStatusReported","","","",0,1,"","","","Coding {[]} {[]}
","Partner HIV status (reported)","The HIV status of the client's partner.","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE33","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE33
",,,,"HIVBHTSvisit.partnerHivStatusReported",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.partnerIsFromAKeyPopulation","HIVBHTSvisit.partnerIsFromAKeyPopulation","","","",0,*,"","","","Coding {[]} {[]}
","Partner is from a key population","Client's partner is a member of a key population, that has an increased risk of HIV","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE37","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE37
",,,,"HIVBHTSvisit.partnerIsFromAKeyPopulation",0,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.hasUsedAnHivSelfTestBeforeReported","HIVBHTSvisit.hasUsedAnHivSelfTestBeforeReported","","","",0,1,"","","","boolean {[]} {[]}
","Has used an HIV self-test before (reported)","The client reported having used an HIV self-test before","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE43
",,,,"HIVBHTSvisit.hasUsedAnHivSelfTestBeforeReported",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivSelfTestResult","HIVBHTSvisit.hivSelfTestResult","","","",0,1,"","","","Coding {[]} {[]}
","HIV self-test result","Results from the reported HIV self-test","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE44","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE44
",,,,"HIVBHTSvisit.hivSelfTestResult",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.dateOfHivSelfTest","HIVBHTSvisit.dateOfHivSelfTest","","","",0,1,"","","","date {[]} {[]}
","Date of HIV self-test","Date when the HIV self-test was conducted","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE48
",,,,"HIVBHTSvisit.dateOfHivSelfTest",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.keyPopulationMember","HIVBHTSvisit.keyPopulationMember","","","",0,1,"","","","boolean {[]} {[]}
","Key population member","Client is a member of a key population that has an increased risk of HIV","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE49
",,,,"HIVBHTSvisit.keyPopulationMember",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.keyPopulationMemberType","HIVBHTSvisit.keyPopulationMemberType","","","",0,*,"","","","Coding {[]} {[]}
","Key population member type","The type of key population that the client is included in","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE50","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE50
",,,,"HIVBHTSvisit.keyPopulationMemberType",0,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.adolescentGirl","HIVBHTSvisit.adolescentGirl","","","",0,1,"","","","boolean {[]} {[]}
","Adolescent girl","Calculated field based on age and gender, if client is 10 years or older and under 20 years old","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE56
",,,,"HIVBHTSvisit.adolescentGirl",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.youngWoman","HIVBHTSvisit.youngWoman","","","",0,1,"","","","boolean {[]} {[]}
","Young woman","Calculated field based on age and gender, if client is 20 years or older and under 25 years old","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE57
",,,,"HIVBHTSvisit.youngWoman",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.orphanOrVulnerableChild","HIVBHTSvisit.orphanOrVulnerableChild","","","",0,1,"","","","boolean {[]} {[]}
","Orphan or vulnerable child","Client considered an orphan or vulnerable child","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE58
",,,,"HIVBHTSvisit.orphanOrVulnerableChild",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.informedOfHivTestResult","HIVBHTSvisit.informedOfHivTestResult","","","",0,1,"","","","boolean {[]} {[]}
","Informed of HIV test result","Client has been informed of their HIV test result","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE59
",,,,"HIVBHTSvisit.informedOfHivTestResult",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.dateHivTestResultsReturned","HIVBHTSvisit.dateHivTestResultsReturned","","","",0,1,"","","","date {[]} {[]}
","Date HIV test results returned","Date HIV test result returned to client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE60
",,,,"HIVBHTSvisit.dateHivTestResultsReturned",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivExposureType","HIVBHTSvisit.hivExposureType","","","",0,*,"","","","Coding {[]} {[]}
","HIV exposure type","Ways in which the client was exposed to HIV","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE61","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE61
",,,,"HIVBHTSvisit.hivExposureType",0,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.dateInformedOfHivPositiveDiagnosis","HIVBHTSvisit.dateInformedOfHivPositiveDiagnosis","","","",0,1,"","","","date {[]} {[]}
","Date informed of HIV-positive diagnosis","The date on which the client was diagnosed with HIV","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE65
",,,,"HIVBHTSvisit.dateInformedOfHivPositiveDiagnosis",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivDiagnosingFacility","HIVBHTSvisit.hivDiagnosingFacility","","","",1,1,"","","","Coding {[]} {[]}
","HIV diagnosing facility","The facility where the client received an HIV-positive diagnosis","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE66","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE66
",,,,"HIVBHTSvisit.hivDiagnosingFacility",1,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.dateOfFirstPositiveTestIndicativeOfHivDiagnosis","HIVBHTSvisit.dateOfFirstPositiveTestIndicativeOfHivDiagnosis","","","",0,1,"","","","date {[]} {[]}
","Date of first positive test indicative of HIV diagnosis","Earliest date of HIV diagnosis determined according to the national HIV testing algorithm","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE67
",,,,"HIVBHTSvisit.dateOfFirstPositiveTestIndicativeOfHivDiagnosis",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivSerotype","HIVBHTSvisit.hivSerotype","","","",0,1,"","","","Coding {[]} {[]}
","HIV serotype","The client's HIV serotype","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE68","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE68
",,,,"HIVBHTSvisit.hivSerotype",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivDiagnosisDate","HIVBHTSvisit.hivDiagnosisDate","","","",0,1,"","","","date {[]} {[]}
","HIV diagnosis date","Date diagnosis was returned to client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE71
",,,,"HIVBHTSvisit.hivDiagnosisDate",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.artStartDate","HIVBHTSvisit.artStartDate","","","",0,1,"","","","date {[]} {[]}
","ART start date","The date on which the client started or restarted antiretroviral therapy (ART)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE72
",,,,"HIVBHTSvisit.artStartDate",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.ageAtDiagnosis","HIVBHTSvisit.ageAtDiagnosis","","","",0,1,"","","","integer {[]} {[]}
","Age at diagnosis","The client's age (in years) when given an HIV diagnosis","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE73
",,,,"HIVBHTSvisit.ageAtDiagnosis",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.typeOfContactElicited","HIVBHTSvisit.typeOfContactElicited","","","",0,*,"","","","Coding {[]} {[]}
","Type of contact elicited","Client's relationship to the contact identified for voluntary partner services or family services","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE74","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE74
",,,,"HIVBHTSvisit.typeOfContactElicited",0,*,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivTestOrdered","HIVBHTSvisit.hivTestOrdered","","","",0,1,"","","","boolean {[]} {[]}
","HIV test ordered","An HIV test of the client was ordered by the provider","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE79
",,,,"HIVBHTSvisit.hivTestOrdered",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivTestConducted","HIVBHTSvisit.hivTestConducted","","","",0,1,"","","","boolean {[]} {[]}
","HIV test conducted","An HIV test was performed on the client during the visit","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE80
",,,,"HIVBHTSvisit.hivTestConducted",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.hivTestType","HIVBHTSvisit.hivTestType","","","",0,1,"","","","Coding {[]} {[]}
","HIV test type","Type of HIV test","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE81","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE81
",,,,"HIVBHTSvisit.hivTestType",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.dateHivTestSent","HIVBHTSvisit.dateHivTestSent","","","",0,1,"","","","dateTime {[]} {[]}
","Date HIV test sent","Date HIV specimen was sent to lab","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE87
",,,,"HIVBHTSvisit.dateHivTestSent",0,1,"",""
"HIVBHTSvisit","HIVBHTSvisit.assayNumberInTestingStrategy","HIVBHTSvisit.assayNumberInTestingStrategy","","","",0,1,"","","","Coding {[]} {[]}
","Assay number in testing strategy","The number of the assay (test kit) in the HIV testing strategy","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.B.DE88","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.B.DE88
",,,,"HIVBHTSvisit.assayNumberInTestingStrategy",0,1,"",""
